route,route_name,day_of_week,hour,is_rainy,has_event,travel_time_minutes,congestion_level
A,Sharea Faisal,Mon,0,0,1,33.0,medium
B,II Chundrigar Road,Mon,0,0,1,26.1,medium
C,University Road,Mon,0,0,1,25.8,medium
A,Sharea Faisal,Mon,1,0,0,20.5,low
B,II Chundrigar Road,Mon,1,0,0,18.1,low
C,University Road,Mon,1,0,0,14.5,low
A,Sharea Faisal,Mon,2,0,0,20.2,low
B,II Chundrigar Road,Mon,2,0,0,17.0,low
C,University Road,Mon,2,0,0,17.3,low
A,Sharea Faisal,Mon,3,0,0,23.7,low
B,II Chundrigar Road,Mon,3,0,0,20.0,low
C,University Road,Mon,3,0,0,14.4,low
A,Sharea Faisal,Mon,4,0,0,22.1,low
B,II Chundrigar Road,Mon,4,0,0,16.8,low
C,University Road,Mon,4,0,0,18.7,low
A,Sharea Faisal,Mon,5,0,0,20.6,low
B,II Chundrigar Road,Mon,5,0,0,20.2,low
C,University Road,Mon,5,0,0,17.1,low
A,Sharea Faisal,Mon,6,0,0,35.9,medium
B,II Chundrigar Road,Mon,6,0,0,28.9,medium
C,University Road,Mon,6,0,0,19.7,low
A,Sharea Faisal,Mon,7,0,0,48.9,high
B,II Chundrigar Road,Mon,7,0,0,38.3,high
C,University Road,Mon,7,0,0,29.6,medium
A,Sharea Faisal,Mon,8,0,1,70.2,high
B,II Chundrigar Road,Mon,8,0,1,53.4,high
C,University Road,Mon,8,0,1,41.8,high
A,Sharea Faisal,Mon,9,0,0,46.7,high
B,II Chundrigar Road,Mon,9,0,0,37.2,high
C,University Road,Mon,9,0,0,28.6,medium
A,Sharea Faisal,Mon,10,0,0,34.2,medium
B,II Chundrigar Road,Mon,10,0,0,28.7,medium
C,University Road,Mon,10,0,0,20.9,low
A,Sharea Faisal,Mon,11,0,0,37.1,medium
B,II Chundrigar Road,Mon,11,0,0,24.8,low
C,University Road,Mon,11,0,0,19.7,low
A,Sharea Faisal,Mon,12,0,0,38.5,medium
B,II Chundrigar Road,Mon,12,0,0,29.4,medium
C,University Road,Mon,12,0,0,23.6,medium
A,Sharea Faisal,Mon,13,0,0,35.2,medium
B,II Chundrigar Road,Mon,13,0,0,27.6,medium
C,University Road,Mon,13,0,0,21.0,low
A,Sharea Faisal,Mon,14,0,0,40.5,medium
B,II Chundrigar Road,Mon,14,0,0,27.6,medium
C,University Road,Mon,14,0,0,22.7,low
A,Sharea Faisal,Mon,15,0,0,35.4,medium
B,II Chundrigar Road,Mon,15,0,0,25.3,low
C,University Road,Mon,15,0,0,19.1,low
A,Sharea Faisal,Mon,16,0,0,36.2,medium
B,II Chundrigar Road,Mon,16,0,0,28.5,medium
C,University Road,Mon,16,0,0,19.8,low
A,Sharea Faisal,Mon,17,0,0,48.2,high
B,II Chundrigar Road,Mon,17,0,0,34.5,medium
C,University Road,Mon,17,0,0,27.2,medium
A,Sharea Faisal,Mon,18,0,0,50.0,high
B,II Chundrigar Road,Mon,18,0,0,36.1,high
C,University Road,Mon,18,0,0,27.3,medium
A,Sharea Faisal,Mon,19,0,0,48.3,high
B,II Chundrigar Road,Mon,19,0,0,38.9,high
C,University Road,Mon,19,0,0,30.9,medium
A,Sharea Faisal,Mon,20,1,0,61.1,high
B,II Chundrigar Road,Mon,20,1,0,45.7,high
C,University Road,Mon,20,1,0,35.4,high
A,Sharea Faisal,Mon,21,0,0,35.2,medium
B,II Chundrigar Road,Mon,21,0,0,26.3,medium
C,University Road,Mon,21,0,0,22.3,low
A,Sharea Faisal,Mon,22,0,0,35.6,medium
B,II Chundrigar Road,Mon,22,0,0,24.9,low
C,University Road,Mon,22,0,0,22.1,low
A,Sharea Faisal,Mon,23,0,0,36.5,medium
B,II Chundrigar Road,Mon,23,0,0,27.0,medium
C,University Road,Mon,23,0,0,18.7,low
A,Sharea Faisal,Tue,0,0,0,24.9,low
B,II Chundrigar Road,Tue,0,0,0,18.7,low
C,University Road,Tue,0,0,0,14.4,low
A,Sharea Faisal,Tue,1,0,1,37.1,medium
B,II Chundrigar Road,Tue,1,0,1,29.4,medium
C,University Road,Tue,1,0,1,26.2,medium
A,Sharea Faisal,Tue,2,0,0,25.5,low
B,II Chundrigar Road,Tue,2,0,0,20.7,low
C,University Road,Tue,2,0,0,14.8,low
A,Sharea Faisal,Tue,3,0,0,24.8,low
B,II Chundrigar Road,Tue,3,0,0,19.8,low
C,University Road,Tue,3,0,0,15.0,low
A,Sharea Faisal,Tue,4,0,0,21.7,low
B,II Chundrigar Road,Tue,4,0,0,20.4,low
C,University Road,Tue,4,0,0,16.3,low
A,Sharea Faisal,Tue,5,0,0,24.6,low
B,II Chundrigar Road,Tue,5,0,0,17.0,low
C,University Road,Tue,5,0,0,15.8,low
A,Sharea Faisal,Tue,6,0,0,35.2,medium
B,II Chundrigar Road,Tue,6,0,0,26.6,medium
C,University Road,Tue,6,0,0,18.5,low
A,Sharea Faisal,Tue,7,0,0,48.7,high
B,II Chundrigar Road,Tue,7,0,0,35.2,medium
C,University Road,Tue,7,0,0,28.0,medium
A,Sharea Faisal,Tue,8,1,0,58.3,high
B,II Chundrigar Road,Tue,8,1,0,47.5,high
C,University Road,Tue,8,1,0,38.1,high
A,Sharea Faisal,Tue,9,1,0,61.1,high
B,II Chundrigar Road,Tue,9,1,0,44.1,high
C,University Road,Tue,9,1,0,34.8,high
A,Sharea Faisal,Tue,10,0,0,35.5,medium
B,II Chundrigar Road,Tue,10,0,0,27.9,medium
C,University Road,Tue,10,0,0,21.6,low
A,Sharea Faisal,Tue,11,0,0,35.2,medium
B,II Chundrigar Road,Tue,11,0,0,26.1,medium
C,University Road,Tue,11,0,0,20.1,low
A,Sharea Faisal,Tue,12,0,0,41.2,medium
B,II Chundrigar Road,Tue,12,0,0,26.5,medium
C,University Road,Tue,12,0,0,21.6,low
A,Sharea Faisal,Tue,13,0,0,36.6,medium
B,II Chundrigar Road,Tue,13,0,0,27.0,medium
C,University Road,Tue,13,0,0,21.8,low
A,Sharea Faisal,Tue,14,0,0,36.6,medium
B,II Chundrigar Road,Tue,14,0,0,30.6,medium
C,University Road,Tue,14,0,0,21.8,low
A,Sharea Faisal,Tue,15,0,0,32.8,medium
B,II Chundrigar Road,Tue,15,0,0,29.0,medium
C,University Road,Tue,15,0,0,21.8,low
A,Sharea Faisal,Tue,16,0,0,37.8,medium
B,II Chundrigar Road,Tue,16,0,0,24.8,low
C,University Road,Tue,16,0,0,20.2,low
A,Sharea Faisal,Tue,17,0,0,45.4,high
B,II Chundrigar Road,Tue,17,0,0,35.9,medium
C,University Road,Tue,17,0,0,31.4,medium
A,Sharea Faisal,Tue,18,0,0,47.8,high
B,II Chundrigar Road,Tue,18,0,0,36.1,high
C,University Road,Tue,18,0,0,31.3,medium
A,Sharea Faisal,Tue,19,0,0,49.5,high
B,II Chundrigar Road,Tue,19,0,0,34.8,medium
C,University Road,Tue,19,0,0,28.3,medium
A,Sharea Faisal,Tue,20,0,0,48.4,high
B,II Chundrigar Road,Tue,20,0,0,37.7,high
C,University Road,Tue,20,0,0,27.3,medium
A,Sharea Faisal,Tue,21,0,0,37.8,medium
B,II Chundrigar Road,Tue,21,0,0,24.8,low
C,University Road,Tue,21,0,0,22.3,low
A,Sharea Faisal,Tue,22,1,0,45.0,high
B,II Chundrigar Road,Tue,22,1,0,33.9,medium
C,University Road,Tue,22,1,0,24.0,medium
A,Sharea Faisal,Tue,23,0,0,34.0,medium
B,II Chundrigar Road,Tue,23,0,0,27.0,medium
C,University Road,Tue,23,0,0,20.8,low
A,Sharea Faisal,Wed,0,0,0,23.3,low
B,II Chundrigar Road,Wed,0,0,0,20.7,low
C,University Road,Wed,0,0,0,15.3,low
A,Sharea Faisal,Wed,1,0,0,22.5,low
B,II Chundrigar Road,Wed,1,0,0,19.4,low
C,University Road,Wed,1,0,0,15.7,low
A,Sharea Faisal,Wed,2,0,0,20.5,low
B,II Chundrigar Road,Wed,2,0,0,18.3,low
C,University Road,Wed,2,0,0,18.9,low
A,Sharea Faisal,Wed,3,0,0,21.3,low
B,II Chundrigar Road,Wed,3,0,0,17.3,low
C,University Road,Wed,3,0,0,18.6,low
A,Sharea Faisal,Wed,4,0,0,22.3,low
B,II Chundrigar Road,Wed,4,0,0,16.8,low
C,University Road,Wed,4,0,0,18.2,low
A,Sharea Faisal,Wed,5,0,0,26.2,low
B,II Chundrigar Road,Wed,5,0,0,19.3,low
C,University Road,Wed,5,0,0,14.4,low
A,Sharea Faisal,Wed,6,0,0,36.6,medium
B,II Chundrigar Road,Wed,6,0,0,28.7,medium
C,University Road,Wed,6,0,0,18.6,low
A,Sharea Faisal,Wed,7,0,0,48.5,high
B,II Chundrigar Road,Wed,7,0,0,35.4,medium
C,University Road,Wed,7,0,0,29.7,medium
A,Sharea Faisal,Wed,8,0,0,49.0,high
B,II Chundrigar Road,Wed,8,0,0,35.3,medium
C,University Road,Wed,8,0,0,29.2,medium
A,Sharea Faisal,Wed,9,0,0,45.6,high
B,II Chundrigar Road,Wed,9,0,0,36.1,high
C,University Road,Wed,9,0,0,28.2,medium
A,Sharea Faisal,Wed,10,1,0,45.2,high
B,II Chundrigar Road,Wed,10,1,0,31.8,medium
C,University Road,Wed,10,1,0,26.3,medium
A,Sharea Faisal,Wed,11,0,0,32.6,medium
B,II Chundrigar Road,Wed,11,0,0,24.4,low
C,University Road,Wed,11,0,0,22.0,low
A,Sharea Faisal,Wed,12,0,0,40.2,medium
B,II Chundrigar Road,Wed,12,0,0,28.9,medium
C,University Road,Wed,12,0,0,20.5,low
A,Sharea Faisal,Wed,13,0,0,40.6,medium
B,II Chundrigar Road,Wed,13,0,0,30.0,medium
C,University Road,Wed,13,0,0,23.7,medium
A,Sharea Faisal,Wed,14,0,0,36.6,medium
B,II Chundrigar Road,Wed,14,0,0,26.5,medium
